,Ast,End,Mic,Neu,Oli
Bulk 380,"(0.3646929762193953, 0.4978702339546793)","(0.05203462079921337, 0.14485542971876608)","(0.10163790638813233, 0.2268345104450605)","(0.030205876772968772, 0.11613602696434921)","(0.16890772167768747, 0.2968246970597477)"
Bulk 381,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 382,"(0.3169106206440726, 0.4629000116118148)","(0.10814914890872568, 0.22277707329473873)","(0.09653029678588032, 0.21023065927542933)","(0.02520961414620443, 0.11213044074373929)","(0.1579272326700279, 0.2872349019193671)"
Bulk 383,"(0.29256537453312054, 0.4432138613870013)","(0.10407057375972056, 0.2333252755087083)","(0.04900196831299544, 0.13919940473552195)","(0.15271620670725294, 0.2737788213515199)","(0.09549056253038998, 0.21663795117376924)"
Bulk 384,"(0.23538495978152107, 0.37433649397693713)","(0.017335891713359596, 0.0769075809470274)","(0.15809069026166633, 0.3105485946948936)","(0.09122220650392855, 0.20575505701217378)","(0.20119356005156058, 0.32922496505693194)"
Bulk 385,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 386,"(0.21612663472567162, 0.37131134848283043)","(0.09344767895803208, 0.21549811029739258)","(0.050735284491418675, 0.13534175794689)","(0.24084891296767522, 0.35213744245273737)","(0.10354716098133773, 0.2210056686960141)"
Bulk 387,"(0.1873269394529783, 0.35385714504895527)","(0.08721441964417445, 0.21158126029603805)","(0.1038741817520274, 0.23646948742226526)","(0.1741176657595242, 0.29578311038910887)","(0.11669286386696864, 0.23308292636795958)"
Bulk 388,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 389,"(0.5249652718025283, 0.6191218327983025)","(0.07019977389485091, 0.1593703262562534)","(0.16581648269601354, 0.2951158804817503)","(0.004794044534008832, 0.014449829010969577)","(0.033117486934861225, 0.11304907159046176)"
Bulk 390,"(0.24275295396386087, 0.39799220642430166)","(0.058143375904724376, 0.16315066395890665)","(0.10311769125677213, 0.2417833885819507)","(0.098643582560181, 0.22186158764293668)","(0.17442969717867812, 0.29812485252768756)"
Bulk 391,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 392,"(0.22657337321851784, 0.3702666068911777)","(0.07402663842460794, 0.18396447821068795)","(0.0027197587522193242, 0.0362544078655596)","(0.3251237276894383, 0.42617386286750636)","(0.11111351472041417, 0.24378363135987094)"
Bulk 393,"(0.03165184956200466, 0.15642800585181255)","(0.2508370747955779, 0.3815289686475984)","(0.0, 0.03814428385173162)","(0.17999543250630268, 0.2853543990955212)","(0.27130426306534877, 0.40938969418995114)"
Bulk 394,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 395,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 396,"(0.09835800248946244, 0.2529966717489476)","(0.1235845494405279, 0.2664560804156198)","(0.3076598763241412, 0.4471240519285323)","(0.0820995705530854, 0.19313852552022234)","(0.05889013306665254, 0.16969253851280858)"
Bulk 397,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 398,"(0.6299096333136813, 0.7031643059424135)","(0.029926028165713846, 0.09800759724524441)","(0.038579505276697616, 0.10764658213380274)","(0.03031979628567443, 0.10882107680930322)","(0.07764337857310209, 0.17598209625436667)"
Bulk 399,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 400,"(0.3102354868008761, 0.45687550634271334)","(0.0734633327033461, 0.18630018623678196)","(0.08589069130463053, 0.21111485588967446)","(0.09082387759901885, 0.21493732630287277)","(0.12370507202872995, 0.24665366479135603)"
Bulk 401,"(0.07953676171218545, 0.2555048935527086)","(0.18562854378513322, 0.33065324115221734)","(0.07414615988109774, 0.19695468314189452)","(0.045260503806708124, 0.14972355988287944)","(0.27979269001952584, 0.40279896306564994)"
Bulk 402,"(0.054304144360839246, 0.21209688774759056)","(0.10615745210840109, 0.23676088084065722)","(0.08644724673264942, 0.20306023859989353)","(0.1591762953808199, 0.2754656698061983)","(0.2746123892466242, 0.3919187951763267)"
Bulk 403,"(0.2983176010693993, 0.4455832706226822)","(0.08283537781463224, 0.19214733489436092)","(0.05572597398245393, 0.14706859231877684)","(0.07322969936034157, 0.19178200179726174)","(0.19231127658590166, 0.3209988715541897)"
Bulk 404,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 405,"(0.1605550381309065, 0.3312277818898799)","(0.19265115769983654, 0.3317444178873702)","(0.005140056958888514, 0.05532030737144722)","(0.12906815714345854, 0.24814183597527956)","(0.19950453488806702, 0.3466467120548658)"
Bulk 406,"(0.3679742694225118, 0.5038010018832024)","(0.1351794455439691, 0.2703920621242847)","(0.03521187696141681, 0.11071890013788119)","(0.07721129375779055, 0.1981293215007231)","(0.08659111307777308, 0.21479071559044755)"
Bulk 407,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 408,"(0.3956539544369108, 0.5227692376270607)","(0.06719748634681474, 0.16600235670821462)","(0.07026477925784834, 0.1746239199460211)","(0.04789856865874313, 0.15383312963520118)","(0.1398270958862513, 0.26192947149693396)"
Bulk 409,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 410,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 411,"(0.0882317410337792, 0.2525708219092425)","(0.12716129536758852, 0.25861009719768324)","(0.009699654658348371, 0.06681526046918002)","(0.15069759770963034, 0.26287255979777435)","(0.3329649275166387, 0.4503760443401345)"
Bulk 412,"(0.010025960228009244, 0.11308913312051255)","(0.10878951900646196, 0.22894390692593547)","(0.07301713682787041, 0.17056338548408834)","(0.3571341307659379, 0.46442245090358525)","(0.1597133948732218, 0.31430098186437716)"
Bulk 413,"(0.05940000622231055, 0.21787462289515908)","(0.24850316288778487, 0.38496602211391373)","(0.01909308622392282, 0.09106909008412113)","(0.10650129166124814, 0.21875330615369118)","(0.2592181401740841, 0.3946212715837642)"
Bulk 414,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 415,"(0.08124256962652297, 0.24479043850869403)","(0.17239041257597343, 0.3106646717651318)","(0.03187033104285841, 0.10629590457646929)","(0.18540877925529337, 0.2985767665522973)","(0.21389407069814967, 0.3548660553986095)"
Bulk 416,"(0.0, 0.000807629750351411)","(0.18079133842337328, 0.3040598363628247)","(0.004961122618054918, 0.09560164917335656)","(0.3590465431676336, 0.44884790900357374)","(0.23090251038965165, 0.3757890908615315)"
Bulk 417,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 418,"(0.07107522027114092, 0.24171073529693493)","(0.16194640663524462, 0.3050105447483352)","(0.04245098666253882, 0.1344986910389055)","(0.23594730283249382, 0.3482839704721529)","(0.15726563349018746, 0.30181050855206565)"
Bulk 419,"(0.0722663685487554, 0.22860570322162527)","(0.08412099154619013, 0.20870049592671186)","(0.09822136463266797, 0.2165984694901586)","(0.2919048258300055, 0.39887141090399486)","(0.13469682238940525, 0.26601354751048534)"
Bulk 420,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 421,"(0.16887134595270398, 0.3375760152663095)","(0.14650535969846462, 0.2888211108319137)","(0.15587504703235117, 0.30754866822812493)","(0.06413505840652353, 0.1776715019264467)","(0.11221189312007519, 0.24078399953708662)"
Bulk 422,"(0.10055487325422884, 0.26410675101737585)","(0.09530224512128035, 0.21932223306420293)","(0.15900107024378746, 0.30078660140017976)","(0.058416436735670964, 0.1697507241048204)","(0.2583424409766681, 0.3744166240817854)"
Bulk 423,"(0.16056880192943876, 0.3308994803087866)","(0.1771179679073922, 0.31361261589912004)","(0.005825735709450965, 0.061021594259475134)","(0.08348364052773802, 0.20219413749967577)","(0.2650363092962494, 0.40023971666267316)"
Bulk 424,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 425,"(0.023881331699113682, 0.13511354137408382)","(0.11367969572134022, 0.2343205968756113)","(0.020771506974083503, 0.0853356297268613)","(0.38747901137739815, 0.4906207054142332)","(0.1810491263273794, 0.3277488545098956)"
Bulk 426,"(0.17535451371124744, 0.34561063599137265)","(0.06987886745031471, 0.19110550052404565)","(0.15897180764864527, 0.3137057352839586)","(0.0715798446671197, 0.18945615176308062)","(0.1779586277531337, 0.3063783152070814)"
Bulk 427,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 428,"(0.0, 0.08739660889790804)","(0.23549997585439614, 0.3705873100012756)","(0.02498440559119263, 0.09455319460882225)","(0.23932086369915206, 0.3527478649622069)","(0.22063164174963407, 0.3744561150842122)"
Bulk 429,"(0.4065033296274922, 0.5344729744523207)","(0.10707755115148249, 0.22263471024847864)","(0.029257666510290867, 0.09197352877471172)","(0.06191432870134129, 0.17514275612459212)","(0.12049703729305333, 0.25052611711623657)"
Bulk 430,"(0.003818655713070003, 0.1140470337560768)","(0.13345212228653933, 0.26065249634510856)","(0.16823933902181656, 0.29303507447621824)","(0.2869806535799282, 0.3989609330702607)","(0.08763910245417646, 0.2531745892968052)"
Bulk 431,"(0.10439852494263664, 0.2650979654359646)","(0.17965612632098588, 0.3121679271007064)","(0.0, 0.03396279738919597)","(0.20398682389584147, 0.30845407897436106)","(0.22619237502127276, 0.37009955670540906)"
Bulk 432,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 433,"(0.14546157850270694, 0.3155022507827083)","(0.09197145052069168, 0.21726483291854715)","(0.08752726568698625, 0.21038882541542359)","(0.15886747039236082, 0.2794977025371182)","(0.18393740231590608, 0.3095812209275509)"
Bulk 434,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 435,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 436,"(0.21218180806513648, 0.3792498788013135)","(0.18721903650567795, 0.32276136681979095)","(0.005690952638455031, 0.05824609775381739)","(0.0261786658887785, 0.11333681831619803)","(0.28454929427926645, 0.4105860809315657)"
Bulk 437,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 438,"(0.22363418370633384, 0.3734503779402554)","(0.1283144403147369, 0.23975751170524764)","(0.08918321963145312, 0.18828821552999234)","(0.0069242951760396625, 0.03352241264725414)","(0.29839863317904164, 0.4185267101696452)"
Bulk 439,"(0.03645380071898306, 0.17970324412932148)","(0.2401894430219107, 0.3727075429013347)","(0.08825858410501186, 0.20450338427096076)","(0.07460139658375062, 0.18337126513847127)","(0.24319439893335468, 0.377016940196901)"
Bulk 440,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 441,"(0.0368912706589567, 0.18174153166774454)","(0.16247761055678284, 0.2967820101490202)","(0.030434920666469883, 0.10842506908869157)","(0.14109156229737033, 0.25174347979455813)","(0.338658566496986, 0.4517539786234196)"
Bulk 442,"(0.008591562819394043, 0.10328772297886285)","(0.17646336148995875, 0.3166142659445803)","(0.004365871814297671, 0.0562935186584996)","(0.2758425439723695, 0.38882204486119987)","(0.265181917847766, 0.4045371896130713)"
Bulk 443,"(0.39315241090243647, 0.5133854779068086)","(0.024037579442005436, 0.10274473743643295)","(0.24478156475719343, 0.3876998014547259)","(0.09322666130956575, 0.19246501177901598)","(0.01710795584725943, 0.03139879916455587)"
Bulk 444,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 445,"(0.2267688736358472, 0.380652909181429)","(0.10828227825739936, 0.22814211354350314)","(0.008735215817640658, 0.05492714707036121)","(0.20638735066608652, 0.31740878516594484)","(0.1639788709367022, 0.30471645572508566)"
Bulk 446,"(0.07927625998169327, 0.23807768519492065)","(0.16769404857124748, 0.3010078797851845)","(0.011337249131698039, 0.07125910577476981)","(0.15555283113028462, 0.2663923711272959)","(0.29225116158274694, 0.41715140772015874)"
Bulk 447,"(0.33116695653667966, 0.47561865467569137)","(0.14590478565789172, 0.2671891309393246)","(0.0, 0.027046133476255046)","(0.13813736501609497, 0.25012110762322004)","(0.11155268443215167, 0.25522702483725945)"
Bulk 448,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 449,"(0.029597934420061978, 0.1627504060830095)","(0.18932849934718934, 0.322574240380911)","(0.05293964304091642, 0.14429895633270984)","(0.20985666115685872, 0.3199797473378089)","(0.2139906660374714, 0.3546832458630631)"
Bulk 450,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 451,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 452,"(0.14986554666839605, 0.3081424279677982)","(0.1356957304979723, 0.25707049250831054)","(0.0, 0.016627110711246125)","(0.18774510507630898, 0.29290999823748926)","(0.26044850147390913, 0.3952585459333425)"
Bulk 453,"(0.31360941969089107, 0.45481006794085244)","(0.08141584906478275, 0.20039130139040592)","(0.06121263526187503, 0.16391117715665524)","(0.18763874159407878, 0.3050822960587521)","(0.07148176180071858, 0.1604467500409882)"
Bulk 454,"(0.0, 0.04067022226077055)","(0.1003448816875617, 0.216593722195169)","(0.026089386775386483, 0.09068947165663496)","(0.4700330101660976, 0.5688737647981916)","(0.1691188240742056, 0.3206599712910686)"
Bulk 455,"(0.34281588180017797, 0.4816126629885288)","(0.0864359694506571, 0.19312817341367225)","(0.07757841130257973, 0.18523017777479725)","(0.043531139621829376, 0.14893340570878705)","(0.1575516543377749, 0.2831825236011956)"
Bulk 456,"(0.0, 0.024496455914589793)","(0.1149809710149314, 0.22461355328462587)","(0.11506443176824377, 0.22771206060749616)","(0.33776369856800914, 0.4426040764278407)","(0.17689578792756283, 0.3378976634262421)"
Bulk 457,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 458,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
