Mixture	Neu	Oli	Ast	Mic	End	P-value	Correlation	RMSE
X613_120523_3	0.265450459757532	0.182404554690817	0.289258360178655	0.258077967952373	0.0048086574206223	0	0.632182217112214	0.78043462500757
X554_120517_3	0.472770403638934	0.2470264230536	0.13087497858042	0.132373944331775	0.0169542503952712	0	0.594656862739499	0.806171482664448
X577_120521_3	0.450281598967449	0.128568115091377	0.110667942492951	0.272901862013656	0.0375804814345669	0	0.598336654258755	0.803300771699379
X461_120514_3	0.480071713023488	0.15641633671583	0.168395475786098	0.176300721274128	0.0188157532004564	0	0.639185400422473	0.770254722716032
X179_120424_3	0.544592974920099	0.10733245063604	0.186422908475262	0.151306397446004	0.0103452685225947	0	0.607751025319315	0.792044624029294
X202_120424_3	0.509159047879856	0.215529662497166	0.187206026049663	0.0672486657945592	0.0208565977787558	0	0.629994930129584	0.776601973745183
X445_120507_3	0.249648120517554	0.250447750045949	0.381715383513043	0.0732119981202618	0.0449767478031921	0	0.802791479271671	0.600225029336579
X553_120517_3	0.169942929904084	0.251706078509678	0.332513347981589	0.190069060694029	0.0557685829106206	0	0.79928709486976	0.602928699461772
X695_120605_3	0.566163666333752	0.128446407325901	0.222780688859658	0.0429352422028955	0.0396739952777931	0	0.640709953849257	0.766389928596315
X678_120604_3	0.344907581386016	0.178802747275074	0.212368818628615	0.18469360915947	0.0792272435508249	0	0.77186765679081	0.658860340825139
X288_120430_3	0.413695532027688	0.301237188170202	0.123862413485058	0.156744245839391	0.00446062047766116	0	0.587273025847855	0.811992854959885
X34_120416_3	0.390481491467723	0.205161025906163	0.219252869479345	0.180352294981458	0.00475231816531073	0	0.643608680103501	0.763932378749511
X636_120524_3	0.455640096980974	0.212358859223823	0.176213599006025	0.061962793790059	0.0938246509991197	0	0.668153321265994	0.75397897257549
X587_120522_3	0.463401466014688	0.236522366359607	0.153918595223336	0.137493625239376	0.00866394716299289	0	0.604523432801782	0.797109297755058
X204_120424_3	0.231995413549857	0.214959187638021	0.399607120076841	0.153438278735282	0	0	0.807294342833981	0.598781267425446
X539_120516_3	0.340261770391204	0.188644849474346	0.193404481945896	0.20687534123387	0.0708135569546839	0	0.692732014525129	0.729057240526686
X493_120515_3	0.218129428595751	0.370680418936292	0.279153399258961	0.0901616015690843	0.0418751516399115	0	0.709511960777259	0.705638824176283
X472_120514_3	0.342914464355561	0.223667655705975	0.194225077865341	0.182206773559335	0.0569860285137887	0	0.67457810883813	0.743581564974151
X699_120605_3	0.435496763660231	0.301645160721775	0.146000029295681	0.0409882222056382	0.0758698241166749	0	0.663568840440366	0.765160293533562
X548_120516_3	0.423045763159082	0.227566831763492	0.157747833191003	0.189374409931672	0.00226516195475151	0	0.618905498099657	0.786426485746668
X140_120419_3	0.458085289864972	0.103279442437549	0.126313702746216	0.28919320131189	0.0231283636393727	0	0.70803441203975	0.723036517385065
X298_120430_3	0.396517961900903	0.2451275324272	0.164276700633122	0.173435446592275	0.0206423584464992	0	0.647133263708754	0.767281929642686
X619_120524_3	0.285437969817431	0.324994233893776	0.305429342485502	0.0800447039610622	0.00409374984222843	0	0.742772893199576	0.670938064077028
